103,Aeroservicios Ejecutivos Del Occidente,,,AEO,AERO OCCIDENTE,N
104,Aerotec,,,AEP,AEROTEC,N
105,Air Atlantique,,KI,AAG,ATLANTIC,N
106,Air Europe,,PE,AEL,AIR EUROPE,Y
107,Air Alma,,,AAJ,AIR ALMA,N
108,Air Express,,,AEQ,LUNA,N
109,Alaska Central Express,,KO,AER,ACE AIR,Y
110,ACES Colombia,,,AES,ACES,Y
111,Aeronautical Radio of Thailand,,,AET,AEROTHAI,N
112,Astraeus,,5W,AEU,FLYSTAR,Y
113,Aeroventas,,,AEV,AEROVENTAS,N
114,Aerosvit Airlines,,VV,AEW,AEROSVIT,Y
115,Airway Express,,,AEX,AVCO,N
116,Air Italy,,I9,AEY,AIR ITALY,Y
117,Aerial Transit Company,,,AEZ,AERIAL TRANZ,N
118,Alfa Air,,,AFA,BLUE ALFA,N
119,American Falcon,,WK,AFB,AMERICAN FALCON,N
120,Alliance Airlines,,QQ,UTY,UNITY,Y
121,Air Universal,,,UVS,UNI-LEONE,N
122,Auvia Air,,,UVT,AUVIA,N
123,African West Air,,,AFC,AFRICAN WEST,N
124,Airfast Indonesia,,,AFE,AIRFAST,N
125,Ariana Afghan Airlines,,FG,AFG,ARIANA,Y
126,Air Fecteau,,,AFH,FECTO,N
127,Africaone,,,AFI,AFRICAWORLD,N
128,Alliance,,,AFJ,JAMBO,N
129,Africa Air Links,,,AFK,AFRICA LINKS,N
130,Aeroflot Russian Airlines,,SU,AFL,AEROFLOT,Y
131,Aero Empresa Mexicana,,,AFO,AERO EMPRESA,N
132,Air Bosna,,JA,BON,AIR BOSNA,Y
133,Air Bravo,,,BRF,AIR BRAVO,N
134,Air Brasd'or,,,BRL,BRASD'OR,N
135,Air 500,,,BRM,BOOMERANG,N
136,Alba Servizi Aerotrasporti,,,AFQ,ALBA,N
137,Air France,,AF,AFR,AIRFRANS,Y
138,Air Partner,,,ACG,AIR PARTNER,N
139,Air Caledonie International,,SB,ACI,AIRCALIN,Y
140,Air Caledonia,,,ACM,WEST CAL,N
141,Air Guam,,,AGM,AIR GUAM,N
142,Air Gabon,,GN,AGN,GOLF NOVEMBER,N
143,Air Data,,,AFS,,N
144,Air Afrique Vacancies,,,AFV,AFRIQUE VACANCE,N
145,Air Cargo America,,,MVM,PEGASUS,N
146,Air Salone,,2O,,,Y
147,Air-Angol,,,NGO,AIR ANGOL,N
148,Air Nigeria,,,NGP,REGAL EAGLE,N
149,Air Cargo Carriers,,2Q,SNC,NIGHT CARGO,Y
150,Air Samarkand,,,SND,ARSAM,N
151,Air Senegal International,,V7,SNG,AIR SENEGAL,N
152,Air Sandy,,,SNY,AIR SANDY,N
153,Air Namibia,,SW,NMB,NAMIBIA,Y
154,Air Intersalonika,,,NSK,INTERSALONIKA,N
155,Air Anatolia,,,NTL,AIR ANATOLIA,N
156,Air Saigon,,,SGA,AIR SAIGON,N
157,Afrique Regional Airways,,,AFW,AFRAIR,N
158,Airfreight Express,,,AFX, ,N
159,Africa Chartered Services,,,AFY,AFRICA CHARTERED,N
160,Africa Freight Services,,,AFZ,AFREIGHT,N
161,Aeronaves Del Centro,,,AGA,,N
162,Air Service Gabon,,G8,AGB,,N
163,Arab Agricultural Aviation Company,,,AGC,AGRICO,N
164,Atlantic Gulf Airlines,,,AGF,ATLANTIC GULF,N
165,Aerolitoral,,5D,SLI,COSTERA,Y
166,Algoma Airways,,,AGG,ALGOMA,N
167,Altagna,,,AGH,ALTAGNA,N
168,Angola Air Charter,,,AGO,ANGOLA CHARTER,N
169,Angola Air Charter,,,AGO,ANGOLA CHARTER,N
170,AERFI Group,,,AGP,AIR TARA,N
171,Aerogala,,,AGQ,GALASERVICE,N
172,Amadeus Global Travel Distribution,,1A,AGT,AMADEUS,N
173,Angara Airlines,,,AGU,SARMA,N
174,Air Glaciers,,7T,AGV,AIR GLACIERS,Y
175,Aero Gambia,,,AGW,AERO GAMBIA,N
176,Aviogenex,,,AGX,GENEX,Y
